EMOB,Sample,Latitude,Longitude,Date,Time,Time.out,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Video.notes,Raw.hdd.number,Con.hdd.number,Forwards.habitat.image.saved,Forwards.habitat.image.annotated,Downwards.habitat.image.saved,Downwards.habitat.image.annotated,Vis.in.metres,Habitat.classification ,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes,Cal
20210909-1-SQUID,PCSBP10,-22.6745,113.5663,20210909,07:44,07:50,,Pt Cloates,,77,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230508,Hannah Williams,Hannah Williams,20230525,,Post-cal
20210909-1-SQUID,PCSBP15,-22.6753,113.5613,20210909,07:57,08:04,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,Checked 077 afterwards. Synced with flasher,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230508,Hannah Williams,Hannah Williams,20230525,no fish ,Post-cal
20210909-2-SQUID,PCSBP9,-22.6779,113.5654,20210909,08:18,08:25,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,Bottom light was off,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB45,-22.6823,113.5591,20210909,08:32,08:38,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSBP8,-22.6839,113.5635,20210909,08:44,08:51,,Pt Cloates,,78,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB3,-22.6854,113.5572,20210909,08:56,09:04,,Pt Cloates,,91,Molly Gerrans,Yes,Yes,Checked cams and lights before.,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB21,-22.6864,113.5593,20210909,09:12,09:19,,Pt Cloates,,88,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB22,-22.6889,113.5566,20210909,09:27,09:36,,Pt Cloates,,91,Molly Gerrans,Yes,Yes,Lots of whales near by,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSB26,-22.6891,113.5586,20210909,09:39,09:46,,Pt Cloates,,85,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,,Post-cal
20210909-2-SQUID,PCSBP7,-22.69,113.5605,20210909,09:50,09:57,,Pt Cloates,,80,Molly Gerrans,Yes,Yes,Checked cams after and synced,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230530,spins around a fair bit,Post-cal
20210909-3-SQUID,PCSB5,-22.6918,113.5532,20210909,10:14,10:21,,Pt Cloates,,96,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSB42,-22.6927,113.555,20210909,10:25,10:32,,Pt Cloates,,91,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSB16,-22.6943,113.5561,20210909,10:39,10:47,,Pt Cloates,,87,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSBP11,-22.6962,113.5592,20210909,10:51,10:59,,Pt Cloates,,79,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230515,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSB10,-22.6966,113.5583,20210909,11:02,11:10,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,Checked cams before,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSB7,-22.6986,113.557,20210909,11:12,11:19,,Pt Cloates,,83,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSB30,-22.6993,113.5498,20210909,11:25,11:31,,Pt Cloates,,96,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSB23,-22.7008,113.5519,20210909,11:35,11:42,,Pt Cloates,,91,Molly Gerrans,Yes,Yes,MBH mark called PCSB1,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-3-SQUID,PCSBP1,-22.6996,113.5589,20210909,11:47,11:54,,Pt Cloates,,79,Molly Gerrans,Yes,Yes,Filmed 1 but filmed P1 again. BRUV was good ground.,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB19,-22.7,113.5594,20210909,11:58,12:06,,Pt Cloates,,80,Molly Gerrans,Yes,Yes,Gap to find BRUV.,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB34,-22.7033,113.557,20210909,12:54,13:01,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,Synced before and checked cams,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSBP16,-22.7053,113.5502,20210909,13:05,13:13,,Pt Cloates,,89,Molly Gerrans,Yes,Yes,"Used MBH mark, accidentally moved mark",RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB38,-22.7058,113.5542,20210909,13:17,13:24,,Pt Cloates,,83,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB8,-22.7064,113.5555,20210909,13:27,13:34,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB29,-22.7052,113.5576,20210909,13:37,13:44,,Pt Cloates,,82,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,no fish,Post-cal
20210909-4-SQUID,PCSB31,-22.7112,113.5554,20210909,13:50,13:57,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,Checked cams before,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB44,-22.7122,113.5532,20210909,14:00,14:07,,Pt Cloates,,83,Molly Gerrans,Yes,Yes,Jessie squids Jo in 007,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB33,-22.7154,113.5531,20210909,14:10,14:17,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSBP6,-22.7171,113.5528,20210909,14:20,14:27,,Pt Cloates,,84,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal
20210909-4-SQUID,PCSB9,-22.7187,113.5519,20210909,14:29,14:36,,Pt Cloates,,81,Molly Gerrans,Yes,Yes,,RAW2,CON1,Molly Gerrans,Molly Gerrans,,,,,Molly Gerrans,20230516,Hannah Williams,Hannah Williams,20230531,,Post-cal